Date,Open,High,Low,Close,Adj Close,Volume
2002-05-20,110.470001,110.470001,109.570000,109.750000,79.163940,87400
2002-05-21,110.099998,110.370003,108.400002,108.570000,78.312805,62000
2002-05-22,108.400002,109.050003,108.099998,109.050003,78.659050,130700
2002-05-23,109.330002,110.199997,108.550003,110.139999,79.445267,272900
2002-05-24,110.050003,110.050003,108.680000,108.750000,78.442627,127600
2002-05-28,109.040001,109.040001,107.500000,107.989998,77.894463,232300
2002-05-29,107.790001,107.930000,107.199997,107.199997,77.324615,925000
2002-05-30,106.540001,107.410004,105.959999,107.110001,77.259705,104600
2002-05-31,107.489998,108.500000,107.080002,107.080002,77.238052,273800
2002-06-03,107.070000,107.559998,104.279999,104.290001,75.225578,212000
2002-06-04,104.269997,105.139999,103.559998,104.680000,75.506897,126900
2002-06-05,104.650002,105.610001,104.529999,105.559998,76.141670,64000
2002-06-06,105.370003,105.370003,103.269997,103.419998,74.598053,113200
2002-06-07,102.050003,103.870003,101.820000,103.220001,74.453796,148100
2002-06-10,103.449997,104.349998,103.029999,103.739998,74.828850,112600
2002-06-11,104.320000,104.440002,101.779999,101.879997,73.487221,66700
2002-06-12,101.849998,102.769997,100.760002,102.589996,73.999367,112200
2002-06-13,102.349998,102.849998,101.449997,101.449997,73.177063,124300
2002-06-14,100.169998,101.500000,98.449997,101.470001,73.191505,147400
2002-06-17,101.500000,103.839996,101.500000,103.839996,75.177353,129600
2002-06-18,103.400002,104.279999,103.400002,103.930000,75.242508,145300
2002-06-19,103.169998,103.989998,102.000000,102.000000,73.845245,68100
2002-06-20,102.139999,102.650002,100.669998,100.889999,73.041603,159900
2002-06-21,99.800003,100.750000,98.629997,99.230003,71.839844,1026000
2002-06-24,98.940002,100.480003,97.339996,99.860001,72.295944,251800
2002-06-25,100.379997,100.849998,97.510002,97.510002,70.594612,173200
2002-06-26,95.250000,98.000000,95.239998,97.669998,70.710419,905600
2002-06-27,98.570000,99.120003,96.680000,99.120003,71.760147,212400
2002-06-28,99.150002,100.400002,99.019997,99.019997,71.687782,161100
2002-07-01,99.169998,99.550003,96.940002,97.099998,70.297775,132500
2002-07-02,96.750000,97.199997,94.809998,95.040001,68.806404,151700
2002-07-03,94.660004,95.739998,93.800003,95.650002,69.248016,669800
2002-07-05,96.750000,99.190002,96.750000,99.150002,71.781906,240200
2002-07-08,99.029999,99.449997,97.660004,98.029999,70.971092,600900
2002-07-09,97.800003,98.230003,95.440002,95.440002,69.095993,284900
2002-07-10,95.779999,95.930000,92.169998,92.199997,66.750305,266500
2002-07-11,91.370003,93.239998,90.250000,93.050003,67.365692,472600
2002-07-12,93.500000,93.709999,91.559998,92.089996,66.670670,186700
2002-07-15,90.860001,92.239998,88.010002,92.190002,66.743042,451100
2002-07-16,91.400002,92.199997,90.000000,90.400002,65.447174,134800
2002-07-17,93.000000,93.690002,89.980003,90.779999,65.722275,174300
2002-07-18,90.599998,91.029999,87.870003,87.870003,63.615509,109200
2002-07-19,86.750000,87.190002,84.260002,84.800003,61.392941,644500
2002-07-22,84.000000,85.889999,81.510002,82.099998,59.438198,669100
2002-07-23,82.550003,83.099998,79.750000,79.849998,57.809254,321800
2002-07-24,78.339996,85.389999,77.769997,84.669998,61.298775,875200
2002-07-25,83.870003,85.730003,81.750000,84.120003,60.900600,318000
2002-07-26,84.519997,85.750000,84.000000,85.750000,62.080708,164700
2002-07-29,87.500000,90.269997,87.400002,89.620003,64.882477,275700
2002-07-30,89.400002,91.349998,88.769997,90.919998,65.823647,329600
2002-07-31,90.459999,91.449997,89.239998,91.330002,66.120468,3733800
2002-08-01,91.099998,91.230003,88.449997,88.500000,64.071594,200300
2002-08-02,88.699997,88.849998,85.720001,86.540001,62.652622,314600
2002-08-05,86.449997,86.519997,83.599998,83.720001,60.611031,126100
2002-08-06,85.570000,87.949997,85.550003,86.230003,62.428192,146600
2002-08-07,88.250000,88.919998,85.730003,87.930000,63.658920,483200
2002-08-08,88.250000,91.089996,87.900002,90.870003,65.787422,637100
2002-08-09,89.879997,91.870003,89.500000,91.250000,66.062538,134500
2002-08-12,89.940002,91.250000,89.580002,90.699997,65.664360,181500
2002-08-13,90.199997,91.610001,88.760002,88.760002,64.259850,242000
2002-08-14,89.199997,92.529999,88.010002,92.250000,66.786507,91500
2002-08-15,92.900002,93.790001,92.400002,93.570000,67.742119,400500
2002-08-16,92.900002,94.029999,91.970001,93.190002,67.467064,126500
2002-08-19,93.339996,95.629997,93.290001,95.410004,69.074249,137700
2002-08-20,94.849998,95.000000,93.639999,94.279999,68.256149,176500
2002-08-21,94.800003,95.699997,93.660004,95.699997,69.284203,173400
2002-08-22,95.699997,96.989998,95.169998,96.739998,70.037163,117500
2002-08-23,95.900002,96.010002,94.190002,94.510002,68.422676,331300
2002-08-26,94.879997,95.570000,93.500000,95.269997,68.972900,237500
2002-08-27,95.900002,95.959999,93.459999,93.910004,67.988335,153800
2002-08-28,93.199997,93.349998,91.769997,92.139999,66.706886,176600
